"s","x","y","d","ID","sex","genus","species"
2e+06,0,0,"mothra03.0624.2100","99.9%_s10g15","male","photinus","greeni"
2799,1256,35,"mothra03.0624.2102","99.9%_s10g15","male","photinus","greeni"
2189,150,466,"mothra03.0624.2102","99.9%_s10g15","male","photinus","greeni"
731,1282,40,"mothra03.0624.2104","99.9%_s10g15","male","photinus","greeni"
442,1311,51,"mothra03.0624.2104","99.9%_s10g15","male","photinus","greeni"
2137,1018,192,"mothra03.0624.2104","99.9%_s10g15","male","photinus","greeni"
356,1636,1248,"mothra03.0624.2104","99.9%_s10g15","male","photinus","greeni"
541,1715,673,"mothra03.0624.2106","99.9%_s10g15","male","photinus","greeni"
1684,374,959,"mothra03.0624.2106","99.9%_s10g15","male","photinus","greeni"
1833,482,1331,"mothra03.0624.2106","99.9%_s10g15","male","photinus","greeni"
567,1729,736,"mothra03.0624.2108","99.9%_s10g15","male","photinus","greeni"
1709,1084,964,"mothra03.0624.2108","99.9%_s10g15","male","photinus","greeni"
268,112,989,"mothra03.0624.2108","99.9%_s10g15","male","photinus","greeni"
583,381,1437,"mothra03.0624.2108","99.9%_s10g15","male","photinus","greeni"
1966,1235,1584,"mothra03.0624.2108","99.9%_s10g15","male","photinus","greeni"
1163,188,260,"mothra03.0624.2110","99.9%_s10g15","male","photinus","greeni"
920,82,988,"mothra03.0624.2110","99.9%_s10g15","male","photinus","greeni"
1745,384,1346,"mothra03.0624.2110","99.9%_s10g15","male","photinus","greeni"
1791,408,1442,"mothra03.0624.2110","99.9%_s10g15","male","photinus","greeni"
1428,147,486,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1332,1681,1030,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
2152,812,1040,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1771,591,1251,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1915,1166,1406,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1067,341,1431,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
745,566,1524,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1081,922,1593,"mothra03.0624.2112","99.9%_s10g15","male","photinus","greeni"
1703,1190,333,"mothra03.0624.2114","99.9%_s10g15","male","photinus","greeni"
1642,1510,690,"mothra03.0624.2114","99.9%_s10g15","male","photinus","greeni"
1465,1659,1102,"mothra03.0624.2114","99.9%_s10g15","male","photinus","greeni"
1990,755,1176,"mothra03.0624.2114","99.9%_s10g15","male","photinus","greeni"
