"","s","x","y","pi","time","ID","sex","genus","species","treatment"
"1",2e+06,0,0,"mothra03",2022-06-24 21:00:00,"99.9%_s10g15","male","photinus","greeni","D"
"2",2799,1256,35,"mothra03",2022-06-24 21:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"3",2189,150,466,"mothra03",2022-06-24 21:02:00,"99.9%_s10g15","male","photinus","greeni","D"
"4",731,1282,40,"mothra03",2022-06-24 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"5",442,1311,51,"mothra03",2022-06-24 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"6",2137,1018,192,"mothra03",2022-06-24 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"7",356,1636,1248,"mothra03",2022-06-24 21:04:00,"99.9%_s10g15","male","photinus","greeni","D"
"8",541,1715,673,"mothra03",2022-06-24 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"9",1684,374,959,"mothra03",2022-06-24 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"10",1833,482,1331,"mothra03",2022-06-24 21:06:00,"99.9%_s10g15","male","photinus","greeni","D"
"11",567,1729,736,"mothra03",2022-06-24 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"12",1709,1084,964,"mothra03",2022-06-24 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"13",268,112,989,"mothra03",2022-06-24 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"14",583,381,1437,"mothra03",2022-06-24 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"15",1966,1235,1584,"mothra03",2022-06-24 21:08:00,"99.9%_s10g15","male","photinus","greeni","D"
"16",1163,188,260,"mothra03",2022-06-24 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"17",920,82,988,"mothra03",2022-06-24 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"18",1745,384,1346,"mothra03",2022-06-24 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"19",1791,408,1442,"mothra03",2022-06-24 21:10:00,"99.9%_s10g15","male","photinus","greeni","D"
"20",1428,147,486,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"21",1332,1681,1030,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"22",2152,812,1040,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"23",1771,591,1251,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"24",1915,1166,1406,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"25",1067,341,1431,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"26",745,566,1524,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"27",1081,922,1593,"mothra03",2022-06-24 21:12:00,"99.9%_s10g15","male","photinus","greeni","D"
"28",1703,1190,333,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"29",1642,1510,690,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"30",1465,1659,1102,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"31",1990,755,1176,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"32",2236,629,1558,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"33",1181,553,1580,"mothra03",2022-06-24 21:14:00,"99.9%_s10g15","male","photinus","greeni","D"
"34",1648,372,523,"mothra03",2022-06-24 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"35",1526,184,673,"mothra03",2022-06-24 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"36",568,1733,714,"mothra03",2022-06-24 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"37",1447,282,1263,"mothra03",2022-06-24 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"38",1894,210,1376,"mothra03",2022-06-24 21:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"39",1270,598,14,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"40",1733,909,138,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"41",1858,308,204,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"42",1213,1544,650,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"43",1516,268,705,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"44",318,160,1040,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"45",402,128,1047,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"46",2037,974,1380,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"47",1498,1425,1532,"mothra03",2022-06-24 21:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"48",1554,1352,291,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"49",962,1534,664,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"50",1036,144,1002,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"51",1950,365,1018,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"52",1758,196,1116,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"53",1791,836,1429,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"54",1621,1235,1466,"mothra03",2022-06-24 21:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"55",1562,673,334,"mothra03",2022-06-24 21:22:00,"99.9%_s10g15","male","photinus","greeni","D"
