"","pi","ID","time","treatment","n","s"
"1","mothra01","99.9%_s10g15",2022-06-24 21:00:00,"D",0,0
"2","mothra01","99.9%_s10g15",2022-06-24 21:02:00,"D",4,4084
"3","mothra01","99.9%_s10g15",2022-06-24 21:04:00,"D",2,2684
"4","mothra01","99.9%_s10g15",2022-06-24 21:06:00,"D",5,8803
"5","mothra01","99.9%_s10g15",2022-06-24 21:08:00,"D",9,18515
"6","mothra01","99.9%_s10g15",2022-06-24 21:10:00,"D",9,23900
"7","mothra01","99.9%_s10g15",2022-06-24 21:12:00,"D",5,7924
"8","mothra01","99.9%_s10g15",2022-06-24 21:14:00,"D",6,10759
"9","mothra01","99.9%_s10g15",2022-06-24 21:16:00,"D",10,17764
"10","mothra01","99.9%_s10g15",2022-06-24 21:18:00,"D",8,12748
"11","mothra01","99.9%_s10g15",2022-06-24 21:20:00,"D",9,19288
"12","mothra01","99.9%_s10g15",2022-06-24 21:22:00,"D",7,12624
"13","mothra01","99.9%_s10g15",2022-06-24 21:24:00,"D",7,11726
"14","mothra01","99.9%_s10g15",2022-06-24 21:26:00,"D",7,12870
"15","mothra01","99.9%_s10g15",2022-06-24 21:28:00,"D",9,15196
"16","mothra01","99.9%_s10g15",2022-06-24 21:30:00,"D",10,15588
"17","mothra01","99.9%_s10g15",2022-06-24 21:32:00,"D",7,13951
"18","mothra01","99.9%_s10g15",2022-06-24 21:34:00,"D",7,11877
"19","mothra01","99.9%_s10g15",2022-06-24 21:36:00,"D",8,15444
"20","mothra01","99.9%_s10g15",2022-06-24 21:38:00,"D",9,14353
"21","mothra01","99.9%_s10g15",2022-06-24 21:40:00,"D",8,14891
"22","mothra01","99.9%_s10g15",2022-06-24 21:42:00,"D",8,13157
"23","mothra01","99.9%_s10g15",2022-06-24 21:44:00,"D",4,5506
"24","mothra01","99.9%_s10g15",2022-06-24 21:46:00,"D",6,10472
"25","mothra01","99.9%_s10g15",2022-06-24 21:48:00,"D",6,9619
"26","mothra01","99.9%_s10g15",2022-06-24 21:50:00,"D",7,11372
"27","mothra01","99.9%_s10g15",2022-06-24 21:52:00,"D",5,11287
"28","mothra01","99.9%_s10g15",2022-06-24 21:54:00,"D",6,9282
"29","mothra01","99.9%_s10g15",2022-06-24 21:56:00,"D",7,14069
"30","mothra01","99.9%_s10g15",2022-06-24 21:58:00,"D",5,9224
"31","mothra01","99.9%_s10g15",2022-06-24 22:00:00,"D",4,7152
"32","mothra01","99.9%_s10g15",2022-06-24 22:02:00,"D",4,4886
"33","mothra01","99.9%_s10g15",2022-06-24 22:04:00,"D",3,5408
"34","mothra01","99.9%_s10g15",2022-06-24 22:06:00,"D",2,4553
"35","mothra01","99.9%_s10g15",2022-06-24 22:08:00,"D",4,6733
"36","mothra01","99.9%_s10g15",2022-06-24 22:10:00,"D",3,3520
"37","mothra01","99.9%_s10g15",2022-06-24 22:12:00,"D",4,3564
"38","mothra01","99.9%_s10g15",2022-06-24 22:14:00,"D",3,6300
"39","mothra01","99.9%_s10g15",2022-06-24 22:16:00,"D",2,4205
"40","mothra01","99.9%_s10g15",2022-06-24 22:18:00,"D",5,6321
"41","mothra01","99.9%_s10g15",2022-06-24 22:20:00,"D",7,6801
"42","mothra01","99.9%_s10g15",2022-06-24 22:22:00,"D",4,8624
"43","mothra01","99.9%_s10g15",2022-06-24 22:24:00,"D",4,7118
"44","mothra01","99.9%_s10g15",2022-06-24 22:26:00,"D",3,6354
"45","mothra01","99.9%_s10g15",2022-06-24 22:28:00,"D",3,4715
"46","mothra01","99.9%_s10g15",2022-06-24 22:30:00,"D",2,3446
"47","mothra01","99.9%_s10g15",2022-06-24 22:32:00,"D",3,3762
"48","mothra01","99.9%_s10g15",2022-06-24 22:34:00,"D",5,6547
"49","mothra01","99.9%_s10g15",2022-06-24 22:36:00,"D",4,6034
"50","mothra01","99.9%_s10g15",2022-06-24 22:38:00,"D",3,4491
"51","mothra01","99.9%_s10g15",2022-06-24 22:40:00,"D",2,3059
"52","mothra01","99.9%_s10g15",2022-06-24 22:42:00,"D",3,4663
"53","mothra01","99.9%_s10g15",2022-06-24 22:44:00,"D",2,2041
"54","mothra01","99.9%_s10g15",2022-06-24 22:46:00,"D",0,0
"55","mothra01","99.9%_s10g15",2022-06-24 22:48:00,"D",1,2005
"56","mothra01","99.9%_s10g15",2022-06-24 22:50:00,"D",2,1848
"57","mothra01","99.9%_s10g15",2022-06-24 22:52:00,"D",1,2648
"58","mothra01","99.9%_s10g15",2022-06-24 22:54:00,"D",1,1873
"59","mothra01","99.9%_s10g15",2022-06-24 22:56:00,"D",3,2072
"60","mothra01","99.9%_s10g15",2022-06-24 22:58:00,"D",3,3240
"61","mothra01","99.9%_s10g15",2022-06-24 23:00:00,"D",0,0
"62","mothra01","99.9%_s10g15",2022-06-24 23:02:00,"D",1,2493
"63","mothra01","99.9%_s10g15",2022-06-24 23:04:00,"D",1,1770
"64","mothra01","99.9%_s10g15",2022-06-24 23:06:00,"D",1,1089
"65","mothra01","99.9%_s10g15",2022-06-24 23:08:00,"D",1,2234
"66","mothra01","99.9%_s10g15",2022-06-24 23:10:00,"D",1,225
"67","mothra01","99.9%_s10g15",2022-06-24 23:12:00,"D",0,0
"68","mothra01","99.9%_s10g15",2022-06-24 23:14:00,"D",2,2840
"69","mothra01","99.9%_s10g15",2022-06-24 23:16:00,"D",2,687
"70","mothra01","99.9%_s10g15",2022-06-24 23:18:00,"D",0,0
"71","mothra01","99.9%_s10g15",2022-06-24 23:20:00,"D",0,0
"72","mothra01","99.9%_s10g15",2022-06-24 23:22:00,"D",0,0
"73","mothra01","99.9%_s10g15",2022-06-24 23:24:00,"D",0,0
"74","mothra01","99.9%_s10g15",2022-06-24 23:26:00,"D",0,0
"75","mothra01","99.9%_s10g15",2022-06-24 23:28:00,"D",0,0
"76","mothra01","99.9%_s10g15",2022-06-24 23:30:00,"D",0,0
"77","mothra01","99.9%_s10g15",2022-06-24 23:32:00,"D",0,0
"78","mothra01","99.9%_s10g15",2022-06-24 23:34:00,"D",0,0
"79","mothra01","99.9%_s10g15",2022-06-24 23:36:00,"D",0,0
"80","mothra01","99.9%_s10g15",2022-06-24 23:38:00,"D",0,0
"81","mothra01","99.9%_s10g15",2022-06-24 23:40:00,"D",0,0
"82","mothra01","99.9%_s10g15",2022-06-24 23:42:00,"D",0,0
"83","mothra01","99.9%_s10g15",2022-06-24 23:44:00,"D",0,0
"84","mothra01","99.9%_s10g15",2022-06-24 23:46:00,"D",0,0
"85","mothra01","99.9%_s10g15",2022-06-24 23:48:00,"D",0,0
"86","mothra01","99.9%_s10g15",2022-06-24 23:50:00,"D",0,0
"87","mothra01","99.9%_s10g15",2022-06-24 23:52:00,"D",0,0
"88","mothra01","99.9%_s10g15",2022-06-24 23:54:00,"D",0,0
"89","mothra01","99.9%_s10g15",2022-06-24 23:56:00,"D",0,0
"90","mothra01","99.9%_s10g15",2022-06-24 23:58:00,"D",0,0
"91","mothra01","99.9%_s10g15",2022-06-25 00:00:00,"D",0,0
"92","mothra01","99.9%_s10g15",2022-06-25 00:02:00,"D",0,0
"93","mothra01","99.9%_s10g15",2022-06-25 00:04:00,"D",0,0
"94","mothra01","99.9%_s10g15",2022-06-25 00:06:00,"D",1,1510
"95","mothra01","99.9%_s10g15",2022-06-25 00:08:00,"D",0,0
"96","mothra01","99.9%_s10g15",2022-06-25 00:10:00,"D",0,0
"97","mothra01","99.9%_s10g15",2022-06-25 00:12:00,"D",0,0
"98","mothra01","99.9%_s10g15",2022-06-25 00:14:00,"D",0,0
"99","mothra01","99.9%_s10g15",2022-06-25 00:16:00,"D",0,0
"100","mothra01","99.9%_s10g15",2022-06-25 00:18:00,"D",1,1891
"101","mothra01","99.9%_s10g15",2022-06-25 00:20:00,"D",0,0
"102","mothra01","99.9%_s10g15",2022-06-25 00:22:00,"D",0,0
"103","mothra01","99.9%_s10g15",2022-06-25 00:24:00,"D",1,3105
"104","mothra01","99.9%_s10g15",2022-06-25 00:26:00,"D",1,1930
"105","mothra01","99.9%_s10g15",2022-06-25 00:28:00,"D",0,0
"106","mothra01","99.9%_s10g15",2022-06-25 00:30:00,"D",2,1808
"107","mothra01","99.9%_s10g15",2022-06-25 00:32:00,"D",1,2071
"108","mothra01","99.9%_s10g15",2022-06-25 00:34:00,"D",0,0
"109","mothra01","99.9%_s10g15",2022-06-25 00:36:00,"D",1,2193
"110","mothra01","99.9%_s10g15",2022-06-25 00:38:00,"D",2,1049
"111","mothra01","99.9%_s10g15",2022-06-25 00:40:00,"D",1,2129
